parameter,lesnoff.d.min ,lesnoff.d.max,cgiar.shp.min ,cgiar.shp.max
NET_offtake_y,0.00261,0.00319,0.0297,0.0363
NET_offtake_m,0.02889,0.03531,0.49,0.99
NET_offtake_f,0.00603,0.00737,0.018,0.022
mortality_y,0.00846,0.01034,0.23,0.4
mortality_a,0.002763,0.003377,0.06,0.13
mortality_end,1,1,1,1
birth_rate,0.0324,0.0396,1.26,1.4
ppr_mortality_y,0,0,0,0
ppr_mortality_a,0,0,0,0
adu_f_max_yrs,9,9,6,6
adu_m_max_yrs,4,4,5,5
min_age_offtake,6,6,9,12.5
min_age_repro,9,9,12,24
NET_offtake_m2,0.02889,0.03531,0.49,0.99
